716,384,0
697,354,0
682,406,0
668,407,0
678,398,0
687,375,0
698,354,0
680,230,1
687,253,1
682,251,1
656,230,1
829,405,2
770,407,2
790,432,2
984,302,3
954,298,3
986,321,3
1023,369,3
966,270,3
1005,274,3
993,357,3
1013,280,3
673,302,4
669,288,4
665,277,4
694,316,4
699,294,4
681,290,4
686,294,4
75,314,5
89,248,5
74,208,5
102,290,5
79,276,5
108,277,5
75,218,5
86,232,5
104,261,5
100,207,5
71,204,5
664,427,6
663,422,6
649,499,6
630,488,6
641,466,6
603,438,6
687,447,6
615,458,6
638,435,6
944,444,7
903,396,7
918,435,7
896,398,7
753,381,8
727,357,8
774,363,8
744,383,8
734,469,9
714,528,9
762,503,9
726,525,9
167,261,10
124,233,10
146,224,10
133,212,10
129,251,10
819,253,11
808,264,11
796,249,11
936,349,12
911,339,12
917,356,12
927,331,12
937,337,12
736,277,13
716,315,13
725,302,13
716,448,14
729,401,14
731,400,14
722,407,14
708,412,14
752,423,14
704,432,14
588,389,15
616,394,15
640,409,15
643,364,15
586,381,15
599,372,15
605,384,15
598,370,15
580,430,15
647,387,15
580,361,15
789,310,16
916,284,17
947,271,17
927,263,17
895,263,17
718,244,18
755,233,18
753,241,18
244,232,19
232,209,19
